"id","name","Title of Photo","Rights Statement"
523,"Jimmy Macbeath","Jimmy at a concert, September 1959","Photograph shown with permission from the family"
1760,"Flora MacNeil","Photo of Flora MacNeil in Barra in her 20s (1940s/50s)","Photograph shown with permission from the family"
